Stock,MSE Linear (Train),MSE RLS (Train),MSE Linear (Test),MSE RLS (Test)
Stock: A,0.134193678,0.104580499,0.151098844,0.150678229
Stock: AA,0.110399082,0.093821557,0.119429343,0.505185186
Stock: AACG,0.002562485,0.003410412,0.001465398,0.001120386
Stock: AAL,0.096018445,0.081149153,0.126281764,0.21326655
Stock: AAMC,46.43360395,35.44195514,0.471336763,2.241174978
Stock: AAME,0.00560859,0.00383061,0.003836617,0.004148308
Stock: AAN,0.010207942,0.004971099,0.162523436,0.106792871
Stock: AAOI,0.210252185,0.17260933,0.035531928,0.035390273
Stock: AAON,0.005325016,0.004373156,0.117582377,0.148174023
